,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,FRIDAY,SATURDAY,SUNDAY,MONDAY,TUESDAY,WEDSNESDAY,THRUSDAY,FRIDAY,SATURDAY,SUNDAY,MONDAY,,,,,
,,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,,,,,
,5:00 AM,,,,,,,,,,,,,,,Options,
,6:00 AM,drive,,,,laundry Joyce General Store (7:00 Am - 7:00 PM,,,,,,,,,,,
,7:00 AM,drive,,,ruby beach ,,,port townsend marine sceince center,,,,drive,,,,Olympic West Park,Olympic East Park
,8:00 AM,drive,,Bogachiel State Park - Free showers,ruby beach ,Crepes,,port townsend marine sceince center 11 AM–4 PM,,,drive,drive,,,,- Rialto Beach,
,9:00 AM,drive,Lewis and Clark National Historical Park,church in forks,ruby beach ,Port Angleles, Port Angeles Tower and pier,,,,drive,drive,,,,- Hoh Rain Forest hall of mosses,- Port Angeles
,10:00 AM,drive,Astoria ,drive,drive,peir,"Port Book and News, Moss (a PNW lifestyle boutique), Kindred Collective",us naval undersea museum 10am-4pm,mt Rainier National park sunrise overlook,drive,drive,craters of the moon,,,,"- tree of life, south beach campground",- Hurricane Ridge
,11:00 AM,drive,Astoria ,,drive,Port Angleles,hollywood beach,us naval undersea museum 10am-4pm,mt Rainier National park sunrise overlook,drive,drive,craters of the moon,,,,- duncan cedar tree,- Mary's falls
,12:00 PM,drive,drive,hoh rain forest,salmon cascades,drive,Port Angeles Fine Arts Center,,,drive,drive,drive,,,,- Quinault Rain forest drive,
,1:00 PM,drive,drive,hoh rain forest,drive,Hurrican Ridge,mess around in town,drive,mt reiner reflection lakes and skyline trail,drive,drive,drive,,,,- Wynoochee falls,
,2:00 PM,drive,Quinault rain forest loop ,hall of mosses,sol duc falls,Hurrican Ridge,go shopping,drive,mt reiner reflection lakes and skyline trail,drive,drive,drive,,,,- Sol Duc River Salmon Cascades,
,3:00 PM,drive,Quinault rain forest loop ,hall of mosses,drive,Hurrican Ridge,,- Snoqualmie Falls,mt reiner reflection lakes and skyline trail,drive,drive,drive,,,,- Sol Duc Falls,
,4:00 PM,drive,drive,river,,drive,,drive,,cour d'alene,drive,drive,,,,,
,5:00 PM,drive,,second beach,Port Angleles,,New Dungeness lighthouse,drive,,,drive,,,,,,
,6:00 PM,drive,,second beach,Get Dinner,,,,,,,,,,,,
,7:00 PM,drive,kalaloch beach South Beach Campground,,,disperse camp,,mt rainier national park,,Disperse camp,disperse camp near stanley lake sawtooths,home,,,,,
,8:00 PM,"disperse camp here 46.12631029804795, -123.87735906752636",,disperse camp national forest,Riveria Inn Motel,"near 48.072222145614, -123.99481567647801",disperse camp,Disperse camp,hotel - eagle rock resort,"near 47.626184, -116.525616
Kootenai County, Idaho 83814","near 44.2500757961115, -115.0759993454511",,,,,,
,9:00 PM,,," near kim kal rd or 47.59189403131492, -124.04301856486163","535 E. Front St., Port Angeles, WA 98362","or near 48.047809, -123.587057
1889-1085 Olympic Hot Springs Rd, Port Angeles, WA 98363","near 47.985517, -123.004970
3978-4048 Jimmy Come Lately Rd, Sequim, WA 98382","near 47.0608046162887, -121.6020884544727","8590 WA-410, Naches, WA 98937",,"or near 44.252499, -115.049948
Forest Rd 640, Stanley, ID 83278",,,,,,
,,,,,,,,,,,,,,,,Oregon,Washington
,SNACKS,,,,,,,,,,,,,,,- astoria,- Sunrise picnic area Mt Reiner
,hummus,,,,,,,,,,,,,,,,- Snoqualmie Falls
,guac,,,,,,,,,,,,,,,,- mt reiner reflection lakes and skyline trail
,cookies,,,,,,,,,,,,,,,,- port townsend marine sceince center
,licorice,,,,,,,,,,,,,,,,- us naval undersea museum
,trail mix,,pasta salad,,,,,,,,,,,,,,- Washington Park Arboretum
,mini cucumbers,,muffins,,,,,,,,,,,,,,- Kubota Garden
,mini peppers,,yogurt,,,,,,,,,,,,,,
,grapes,,bagels and cream cheese,,,,,,,,,,,,,,
,cuties,,breakfast sandwiches,instant rice,,,,,,,,,,,,,
,check mix,,oatmeal,,,,,,,,,,,,,,
,doritos,,hard boiled eggs,,,,,,,,,,,,,,
,tortilla chips,,veggie pinwheels,,,,,,,,,,,,,California,Idaho
,sour gummies,,precooked sausage,,,,,,,,,,,,,- Redwood National and State Parks,- crater of the moon
,bananas,,"chicken sandwiches, tomato lettuce",,,,,,,,,,,,,- avenue of the giants,- coeur d'alene
,yogurt,,Pulled pork,,,,,,,,,,,,,- beach,"- Shoshone Falls,"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,breakfast ,lunch,dinner,,,,,,,,,,,,,
11 breakfasts,friday 7,breakfast burritos,meat sandwich (deli),pasta salad,,,,,,,,,,,,,
11 lunches,saturday 8,breakfast sandwiches,eat out,chicken sandwiches (patties),,,,,,,,,,,,,
11 dinners,sunday 9,bagel and cream cheese,meat sandwich (deli),BBQ pork sandwiches,,,,,,,,,,,,,
